Mu,lamda,tree_num
0,0,0
ntips,mu,tree_num,SA_num
10,1,1,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,2,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,3,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,4,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,5,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,6,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,7,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,8,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,9,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,10,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,11,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,12,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,13,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,14,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,15,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,16,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,17,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,18,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,19,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,20,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,21,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,22,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,23,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,24,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,25,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,26,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,27,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,28,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,29,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,30,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,31,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,32,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,33,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,34,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,35,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,36,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,37,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,38,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,39,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,40,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,41,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,42,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,43,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,44,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,45,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,46,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,47,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,48,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,49,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,50,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,51,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,52,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,53,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,54,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,55,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,56,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,57,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,58,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,59,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,60,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,61,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,62,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,63,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,64,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,65,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,66,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,67,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,68,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,69,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,70,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,71,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,72,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,73,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,74,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,75,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,76,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,77,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,78,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,79,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,80,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,81,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,82,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,83,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,84,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,85,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,86,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,87,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,88,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,89,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,90,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,91,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,92,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,93,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,94,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,95,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,96,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,97,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,98,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,99,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,100,There was an error while analysing your Nexus file
10,2,1,There was an error while analysing your Nexus file
10,2,2,There was an error while analysing your Nexus file
10,2,3,There was an error while analysing your Nexus file
10,2,4,There was an error while analysing your Nexus file
10,2,5,There was an error while analysing your Nexus file
10,2,6,There was an error while analysing your Nexus file
10,2,7,There was an error while analysing your Nexus file
10,2,8,There was an error while analysing your Nexus file
10,2,9,There was an error while analysing your Nexus file
10,2,10,There was an error while analysing your Nexus file
10,2,11,There was an error while analysing your Nexus file
10,2,12,There was an error while analysing your Nexus file
10,2,13,There was an error while analysing your Nexus file
10,2,14,There was an error while analysing your Nexus file
10,2,15,There was an error while analysing your Nexus file
10,2,16,There was an error while analysing your Nexus file
10,2,17,There was an error while analysing your Nexus file
10,2,18,There was an error while analysing your Nexus file
10,2,19,There was an error while analysing your Nexus file
10,2,20,There was an error while analysing your Nexus file
10,2,21,There was an error while analysing your Nexus file
10,2,22,There was an error while analysing your Nexus file
10,2,23,There was an error while analysing your Nexus file
10,2,24,There was an error while analysing your Nexus file
10,2,25,There was an error while analysing your Nexus file
10,2,26,There was an error while analysing your Nexus file
10,2,27,There was an error while analysing your Nexus file
10,2,28,There was an error while analysing your Nexus file
10,2,29,There was an error while analysing your Nexus file
10,2,30,There was an error while analysing your Nexus file
10,2,31,There was an error while analysing your Nexus file
10,2,32,There was an error while analysing your Nexus file
10,2,33,There was an error while analysing your Nexus file
10,2,34,There was an error while analysing your Nexus file
10,2,35,There was an error while analysing your Nexus file
10,2,36,There was an error while analysing your Nexus file
10,2,37,There was an error while analysing your Nexus file
10,2,38,There was an error while analysing your Nexus file
10,2,39,There was an error while analysing your Nexus file
10,2,40,There was an error while analysing your Nexus file
10,2,41,There was an error while analysing your Nexus file
10,2,42,There was an error while analysing your Nexus file
10,2,43,There was an error while analysing your Nexus file
10,2,44,There was an error while analysing your Nexus file
10,2,45,There was an error while analysing your Nexus file
10,2,46,There was an error while analysing your Nexus file
10,2,47,There was an error while analysing your Nexus file
10,2,48,There was an error while analysing your Nexus file
10,2,49,There was an error while analysing your Nexus file
10,2,50,There was an error while analysing your Nexus file
10,2,51,There was an error while analysing your Nexus file
10,2,52,There was an error while analysing your Nexus file
10,2,53,There was an error while analysing your Nexus file
10,2,54,There was an error while analysing your Nexus file
10,2,55,There was an error while analysing your Nexus file
10,2,56,There was an error while analysing your Nexus file
10,2,57,There was an error while analysing your Nexus file
10,2,58,There was an error while analysing your Nexus file
10,2,59,There was an error while analysing your Nexus file
10,2,60,There was an error while analysing your Nexus file
10,2,61,There was an error while analysing your Nexus file
10,2,62,There was an error while analysing your Nexus file
10,2,63,There was an error while analysing your Nexus file
10,2,64,There was an error while analysing your Nexus file
10,2,65,There was an error while analysing your Nexus file
10,2,66,There was an error while analysing your Nexus file
10,2,67,There was an error while analysing your Nexus file
10,2,68,There was an error while analysing your Nexus file
10,2,69,There was an error while analysing your Nexus file
10,2,70,There was an error while analysing your Nexus file
10,2,71,There was an error while analysing your Nexus file
10,2,72,There was an error while analysing your Nexus file
10,2,73,There was an error while analysing your Nexus file
10,2,74,There was an error while analysing your Nexus file
10,2,75,There was an error while analysing your Nexus file
10,2,76,There was an error while analysing your Nexus file
10,2,77,There was an error while analysing your Nexus file
10,2,78,There was an error while analysing your Nexus file
10,2,79,There was an error while analysing your Nexus file
10,2,80,There was an error while analysing your Nexus file
10,2,81,There was an error while analysing your Nexus file
10,2,82,There was an error while analysing your Nexus file
10,2,83,There was an error while analysing your Nexus file
10,2,84,There was an error while analysing your Nexus file
10,2,85,There was an error while analysing your Nexus file
10,2,86,There was an error while analysing your Nexus file
10,2,87,There was an error while analysing your Nexus file
10,2,88,There was an error while analysing your Nexus file
10,2,89,There was an error while analysing your Nexus file
10,2,90,There was an error while analysing your Nexus file
10,2,91,There was an error while analysing your Nexus file
10,2,92,There was an error while analysing your Nexus file
10,2,93,There was an error while analysing your Nexus file
10,2,94,There was an error while analysing your Nexus file
10,2,95,There was an error while analysing your Nexus file
10,2,96,There was an error while analysing your Nexus file
10,2,97,There was an error while analysing your Nexus file
10,2,98,There was an error while analysing your Nexus file
10,2,99,There was an error while analysing your Nexus file
10,2,100,There was an error while analysing your Nexus file
10,3,1,There was an error while analysing your Nexus file
10,3,2,There was an error while analysing your Nexus file
10,3,3,There was an error while analysing your Nexus file
10,3,4,There was an error while analysing your Nexus file
10,3,5,There was an error while analysing your Nexus file
10,3,6,There was an error while analysing your Nexus file
10,3,7,There was an error while analysing your Nexus file
10,3,8,There was an error while analysing your Nexus file
10,3,9,There was an error while analysing your Nexus file
10,3,10,There was an error while analysing your Nexus file
10,3,11,There was an error while analysing your Nexus file
10,3,12,There was an error while analysing your Nexus file
10,3,13,There was an error while analysing your Nexus file
10,3,14,There was an error while analysing your Nexus file
10,3,15,There was an error while analysing your Nexus file
10,3,16,There was an error while analysing your Nexus file
10,3,17,There was an error while analysing your Nexus file
10,3,18,There was an error while analysing your Nexus file
10,3,19,There was an error while analysing your Nexus file
10,3,20,There was an error while analysing your Nexus file
10,3,21,There was an error while analysing your Nexus file
10,3,22,There was an error while analysing your Nexus file
10,3,23,There was an error while analysing your Nexus file
10,3,24,There was an error while analysing your Nexus file
10,3,25,There was an error while analysing your Nexus file
10,3,26,There was an error while analysing your Nexus file
10,3,27,There was an error while analysing your Nexus file
10,3,28,There was an error while analysing your Nexus file
10,3,29,There was an error while analysing your Nexus file
10,3,30,There was an error while analysing your Nexus file
10,3,31,There was an error while analysing your Nexus file
10,3,32,There was an error while analysing your Nexus file
10,3,33,There was an error while analysing your Nexus file
10,3,34,There was an error while analysing your Nexus file
10,3,35,There was an error while analysing your Nexus file
10,3,36,There was an error while analysing your Nexus file
10,3,37,There was an error while analysing your Nexus file
10,3,38,There was an error while analysing your Nexus file
10,3,39,There was an error while analysing your Nexus file
10,3,40,There was an error while analysing your Nexus file
10,3,41,There was an error while analysing your Nexus file
10,3,42,There was an error while analysing your Nexus file
10,3,43,There was an error while analysing your Nexus file
10,3,44,There was an error while analysing your Nexus file
10,3,45,There was an error while analysing your Nexus file
10,3,46,There was an error while analysing your Nexus file
10,3,47,There was an error while analysing your Nexus file
10,3,48,There was an error while analysing your Nexus file
10,3,49,There was an error while analysing your Nexus file
10,3,50,There was an error while analysing your Nexus file
10,3,51,There was an error while analysing your Nexus file
10,3,52,There was an error while analysing your Nexus file
10,3,53,There was an error while analysing your Nexus file
10,3,54,There was an error while analysing your Nexus file
10,3,55,There was an error while analysing your Nexus file
10,3,56,There was an error while analysing your Nexus file
10,3,57,There was an error while analysing your Nexus file
10,3,58,There was an error while analysing your Nexus file
10,3,59,There was an error while analysing your Nexus file
10,3,60,There was an error while analysing your Nexus file
10,3,61,There was an error while analysing your Nexus file
10,3,62,There was an error while analysing your Nexus file
10,3,63,There was an error while analysing your Nexus file
10,3,64,There was an error while analysing your Nexus file
10,3,65,There was an error while analysing your Nexus file
10,3,66,There was an error while analysing your Nexus file
10,3,67,There was an error while analysing your Nexus file
10,3,68,There was an error while analysing your Nexus file
10,3,69,There was an error while analysing your Nexus file
10,3,70,There was an error while analysing your Nexus file
10,3,71,There was an error while analysing your Nexus file
10,3,72,There was an error while analysing your Nexus file
10,3,73,There was an error while analysing your Nexus file
10,3,74,There was an error while analysing your Nexus file
10,3,75,There was an error while analysing your Nexus file
10,3,76,There was an error while analysing your Nexus file
10,3,77,There was an error while analysing your Nexus file
10,3,78,There was an error while analysing your Nexus file
10,3,79,There was an error while analysing your Nexus file
10,3,80,There was an error while analysing your Nexus file
10,3,81,There was an error while analysing your Nexus file
10,3,82,There was an error while analysing your Nexus file
10,3,83,There was an error while analysing your Nexus file
10,3,84,There was an error while analysing your Nexus file
10,3,85,There was an error while analysing your Nexus file
10,3,86,There was an error while analysing your Nexus file
10,3,87,There was an error while analysing your Nexus file
10,3,88,There was an error while analysing your Nexus file
10,3,89,There was an error while analysing your Nexus file
10,3,90,There was an error while analysing your Nexus file
10,3,91,There was an error while analysing your Nexus file
10,3,92,There was an error while analysing your Nexus file
10,3,93,There was an error while analysing your Nexus file
10,3,94,There was an error while analysing your Nexus file
10,3,95,There was an error while analysing your Nexus file
10,3,96,There was an error while analysing your Nexus file
10,3,97,There was an error while analysing your Nexus file
10,3,98,There was an error while analysing your Nexus file
10,3,99,There was an error while analysing your Nexus file
10,3,100,There was an error while analysing your Nexus file
10,4,1,There was an error while analysing your Nexus file
10,4,2,There was an error while analysing your Nexus file
10,4,3,There was an error while analysing your Nexus file
10,4,4,There was an error while analysing your Nexus file
10,4,5,There was an error while analysing your Nexus file
10,4,6,There was an error while analysing your Nexus file
10,4,7,There was an error while analysing your Nexus file
10,4,8,There was an error while analysing your Nexus file
10,4,9,There was an error while analysing your Nexus file
10,4,10,There was an error while analysing your Nexus file
10,4,11,There was an error while analysing your Nexus file
10,4,12,There was an error while analysing your Nexus file
10,4,13,There was an error while analysing your Nexus file
10,4,14,There was an error while analysing your Nexus file
10,4,15,There was an error while analysing your Nexus file
10,4,16,There was an error while analysing your Nexus file
10,4,17,There was an error while analysing your Nexus file
10,4,18,There was an error while analysing your Nexus file
10,4,19,There was an error while analysing your Nexus file
10,4,20,There was an error while analysing your Nexus file
10,4,21,There was an error while analysing your Nexus file
10,4,22,There was an error while analysing your Nexus file
10,4,23,There was an error while analysing your Nexus file
10,4,24,There was an error while analysing your Nexus file
10,4,25,There was an error while analysing your Nexus file
10,4,26,There was an error while analysing your Nexus file
10,4,27,There was an error while analysing your Nexus file
10,4,28,There was an error while analysing your Nexus file
10,4,29,There was an error while analysing your Nexus file
10,4,30,There was an error while analysing your Nexus file
10,4,31,There was an error while analysing your Nexus file
10,4,32,There was an error while analysing your Nexus file
10,4,33,There was an error while analysing your Nexus file
10,4,34,There was an error while analysing your Nexus file
10,4,35,There was an error while analysing your Nexus file
10,4,36,There was an error while analysing your Nexus file
10,4,37,There was an error while analysing your Nexus file
10,4,38,There was an error while analysing your Nexus file
10,4,39,There was an error while analysing your Nexus file
10,4,40,There was an error while analysing your Nexus file
10,4,41,There was an error while analysing your Nexus file
10,4,42,There was an error while analysing your Nexus file
10,4,43,There was an error while analysing your Nexus file
10,4,44,There was an error while analysing your Nexus file
10,4,45,There was an error while analysing your Nexus file
10,4,46,There was an error while analysing your Nexus file
10,4,47,There was an error while analysing your Nexus file
10,4,48,There was an error while analysing your Nexus file
10,4,49,There was an error while analysing your Nexus file
10,4,50,There was an error while analysing your Nexus file
10,4,51,There was an error while analysing your Nexus file
10,4,52,There was an error while analysing your Nexus file
10,4,53,There was an error while analysing your Nexus file
10,4,54,There was an error while analysing your Nexus file
10,4,55,There was an error while analysing your Nexus file
10,4,56,There was an error while analysing your Nexus file
10,4,57,There was an error while analysing your Nexus file
10,4,58,There was an error while analysing your Nexus file
10,4,59,There was an error while analysing your Nexus file
10,4,60,There was an error while analysing your Nexus file
10,4,61,There was an error while analysing your Nexus file
10,4,62,There was an error while analysing your Nexus file
10,4,63,There was an error while analysing your Nexus file
10,4,64,There was an error while analysing your Nexus file
10,4,65,There was an error while analysing your Nexus file
10,4,66,There was an error while analysing your Nexus file
10,4,67,There was an error while analysing your Nexus file
10,4,68,There was an error while analysing your Nexus file
10,4,69,There was an error while analysing your Nexus file
10,4,70,There was an error while analysing your Nexus file
10,4,71,There was an error while analysing your Nexus file
